 Loading config:../cfg/test1.csv                                                                
 Reading configuration from file '../cfg/test1.csv                                                                '
 NPTS=        1800
 RANDOMSEED=   0.0000000000000000     
 Read           0  events from ../cfg/test1.csv                                                                .
 TEINIT> Init...
 Random number generation: seed=   0.0000000000000000     
 SETPOINT  9 CHANGE:   230.39908-->   230.40589
 SETPOINT  4 CHANGE:    10.38164-->    10.38402
 SETPOINT 10 CHANGE:    96.08688-->    95.94543
 SETPOINT  9 CHANGE:   230.40589-->   230.41282
 SETPOINT  4 CHANGE:    10.38402-->    10.38651
 SETPOINT 10 CHANGE:    95.94543-->    95.78730
 SETPOINT  9 CHANGE:   230.41282-->   230.41987
 SETPOINT  4 CHANGE:    10.38651-->    10.38914
 SETPOINT 10 CHANGE:    95.78730-->    95.61772
 SETPOINT  9 CHANGE:   230.41987-->   230.42705
 SETPOINT  4 CHANGE:    10.38914-->    10.39192
 SETPOINT 10 CHANGE:    95.61772-->    95.44218
 SETPOINT  9 CHANGE:   230.42705-->   230.43438
 SETPOINT  4 CHANGE:    10.39192-->    10.39486
 SETPOINT 10 CHANGE:    95.44218-->    95.26632
 SETPOINT  9 CHANGE:   230.43438-->   230.44187
 SETPOINT  4 CHANGE:    10.39486-->    10.39797
 SETPOINT 10 CHANGE:    95.26632-->    95.09570
 SETPOINT  9 CHANGE:   230.44187-->   230.44953
 SETPOINT  4 CHANGE:    10.39797-->    10.40127
 SETPOINT 10 CHANGE:    95.09570-->    94.93575
 SETPOINT  9 CHANGE:   230.44953-->   230.45737
 SETPOINT  4 CHANGE:    10.40127-->    10.40476
 SETPOINT 10 CHANGE:    94.93575-->    94.79159
 SETPOINT  9 CHANGE:   230.45737-->   230.46540
 SETPOINT  4 CHANGE:    10.40476-->    10.40846
 SETPOINT 10 CHANGE:    94.79159-->    94.66794
 SETPOINT  9 CHANGE:   230.46540-->   230.47363
 SETPOINT  4 CHANGE:    10.40846-->    10.41238
 SETPOINT 10 CHANGE:    94.66794-->    94.56899
 SETPOINT  9 CHANGE:   230.47363-->   230.48207
 SETPOINT  4 CHANGE:    10.41238-->    10.41651
 SETPOINT 10 CHANGE:    94.56899-->    94.49828
 SETPOINT  9 CHANGE:   230.48207-->   230.49074
 SETPOINT  4 CHANGE:    10.41651-->    10.42087
 SETPOINT 10 CHANGE:    94.49828-->    94.45869
 SETPOINT  9 CHANGE:   230.49074-->   230.49965
 SETPOINT  4 CHANGE:    10.42087-->    10.42546
 SETPOINT 10 CHANGE:    94.45869-->    94.45229
 SETPOINT  9 CHANGE:   230.49965-->   230.50880
 SETPOINT  4 CHANGE:    10.42546-->    10.43027
 SETPOINT 10 CHANGE:    94.45229-->    94.48035
 SETPOINT  9 CHANGE:   230.50880-->   230.51821
 SETPOINT  4 CHANGE:    10.43027-->    10.43531
 SETPOINT 10 CHANGE:    94.48035-->    94.54331
 SETPOINT  9 CHANGE:   230.51821-->   230.52788
 SETPOINT  4 CHANGE:    10.43531-->    10.44057
 SETPOINT 10 CHANGE:    94.54331-->    94.64076
 SETPOINT  9 CHANGE:   230.52788-->   230.53784
 SETPOINT  4 CHANGE:    10.44057-->    10.44604
 SETPOINT 10 CHANGE:    94.64076-->    94.77146
 SETPOINT  9 CHANGE:   230.53784-->   230.54808
 SETPOINT  4 CHANGE:    10.44604-->    10.45172
 SETPOINT 10 CHANGE:    94.77146-->    94.93339
 SETPOINT  9 CHANGE:   230.54808-->   230.55862
 SETPOINT  4 CHANGE:    10.45172-->    10.45759
 SETPOINT 10 CHANGE:    94.93339-->    95.12381
 SETPOINT  9 CHANGE:   230.55862-->   230.56946
 SETPOINT  4 CHANGE:    10.45759-->    10.46364
 SETPOINT 10 CHANGE:    95.12381-->    95.33931
 SETPOINT  9 CHANGE:   230.56946-->   230.58062
 SETPOINT  4 CHANGE:    10.46364-->    10.46986
 SETPOINT 10 CHANGE:    95.33931-->    95.57590
 SETPOINT  9 CHANGE:   230.58062-->   230.59211
 SETPOINT  4 CHANGE:    10.46986-->    10.47624
 SETPOINT 10 CHANGE:    95.57590-->    95.82915
 SETPOINT  9 CHANGE:   230.59211-->   230.60393
 SETPOINT  4 CHANGE:    10.47624-->    10.48276
 SETPOINT 10 CHANGE:    95.82915-->    96.09423
 SETPOINT  9 CHANGE:   230.60393-->   230.61610
 SETPOINT  4 CHANGE:    10.48276-->    10.48940
 SETPOINT 10 CHANGE:    96.09423-->    96.36609
 SETPOINT  9 CHANGE:   230.61610-->   230.62861
 SETPOINT  4 CHANGE:    10.48940-->    10.49616
 SETPOINT 10 CHANGE:    96.36609-->    96.63956
 SETPOINT  9 CHANGE:   230.62861-->   230.64149
 SETPOINT  4 CHANGE:    10.49616-->    10.50301
 SETPOINT 10 CHANGE:    96.63956-->    96.90945
 SETPOINT  9 CHANGE:   230.64149-->   230.65473
 SETPOINT  4 CHANGE:    10.50301-->    10.50995
 SETPOINT 10 CHANGE:    96.90945-->    97.17071
 SETPOINT  9 CHANGE:   230.65473-->   230.66835
 SETPOINT  4 CHANGE:    10.50995-->    10.51695
 SETPOINT 10 CHANGE:    97.17071-->    97.41852
 SETPOINT  9 CHANGE:   230.66835-->   230.68234
 SETPOINT  4 CHANGE:    10.51695-->    10.52401
 SETPOINT 10 CHANGE:    97.41852-->    97.64843
 SETPOINT  9 CHANGE:   230.68234-->   230.69672
 SETPOINT  4 CHANGE:    10.52401-->    10.53111
 SETPOINT 10 CHANGE:    97.64843-->    97.85642
 SETPOINT  9 CHANGE:   230.69672-->   230.71150
 SETPOINT  4 CHANGE:    10.53111-->    10.53825
 SETPOINT 10 CHANGE:    97.85642-->    98.03903
 SETPOINT  9 CHANGE:   230.71150-->   230.72668
 SETPOINT  4 CHANGE:    10.53825-->    10.54542
 SETPOINT 10 CHANGE:    98.03903-->    98.19345
 SETPOINT  9 CHANGE:   230.72668-->   230.74226
 SETPOINT  4 CHANGE:    10.54542-->    10.55261
 SETPOINT 10 CHANGE:    98.19345-->    98.31752
 SETPOINT  9 CHANGE:   230.74226-->   230.75825
 SETPOINT  4 CHANGE:    10.55261-->    10.55982
 SETPOINT 10 CHANGE:    98.31752-->    98.40986
 SETPOINT  9 CHANGE:   230.75825-->   230.77465
 SETPOINT  4 CHANGE:    10.55982-->    10.56705
 SETPOINT 10 CHANGE:    98.40986-->    98.46984
 SETPOINT  9 CHANGE:   230.77465-->   230.79147
 SETPOINT  4 CHANGE:    10.56705-->    10.57429
 SETPOINT 10 CHANGE:    98.46984-->    98.49760
 SETPOINT  9 CHANGE:   230.79147-->   230.80872
 SETPOINT  4 CHANGE:    10.57429-->    10.58155
 SETPOINT 10 CHANGE:    98.49760-->    98.49409
 SETPOINT  9 CHANGE:   230.80872-->   230.82639
 SETPOINT  4 CHANGE:    10.58155-->    10.58883
 SETPOINT 10 CHANGE:    98.49409-->    98.46097
 SETPOINT  9 CHANGE:   230.82639-->   230.84448
 SETPOINT  4 CHANGE:    10.58883-->    10.59614
 SETPOINT 10 CHANGE:    98.46097-->    98.40063
 SETPOINT  9 CHANGE:   230.84448-->   230.86301
 SETPOINT  4 CHANGE:    10.59614-->    10.60349
 SETPOINT 10 CHANGE:    98.40063-->    98.31610
 SETPOINT  9 CHANGE:   230.86301-->   230.88198
 SETPOINT  4 CHANGE:    10.60349-->    10.61088
 SETPOINT 10 CHANGE:    98.31610-->    98.21096
 SETPOINT  9 CHANGE:   230.88198-->   230.90138
 SETPOINT  4 CHANGE:    10.61088-->    10.61832
 SETPOINT 10 CHANGE:    98.21096-->    98.08928
 SETPOINT  9 CHANGE:   230.90138-->   230.92121
 SETPOINT  4 CHANGE:    10.61832-->    10.62582
 SETPOINT 10 CHANGE:    98.08928-->    97.95548
 SETPOINT  9 CHANGE:   230.92121-->   230.94149
 SETPOINT  4 CHANGE:    10.62582-->    10.63339
 SETPOINT 10 CHANGE:    97.95548-->    97.81425
 SETPOINT  9 CHANGE:   230.94149-->   230.96220
 SETPOINT  4 CHANGE:    10.63339-->    10.64104
 SETPOINT 10 CHANGE:    97.81425-->    97.67041
 SETPOINT  9 CHANGE:   230.96220-->   230.98336
 SETPOINT  4 CHANGE:    10.64104-->    10.64879
 SETPOINT 10 CHANGE:    97.67041-->    97.52881
 SETPOINT  9 CHANGE:   230.98336-->   231.00495
 SETPOINT  4 CHANGE:    10.64879-->    10.65664
 SETPOINT 10 CHANGE:    97.52881-->    97.39416
 SETPOINT  9 CHANGE:   231.00495-->   231.02699
 SETPOINT  4 CHANGE:    10.65664-->    10.66459
 SETPOINT 10 CHANGE:    97.39416-->    97.27099
 SETPOINT  9 CHANGE:   231.02699-->   231.04947
 SETPOINT  4 CHANGE:    10.66459-->    10.67267
 SETPOINT 10 CHANGE:    97.27099-->    97.16344
 SETPOINT  9 CHANGE:   231.04947-->   231.07238
 SETPOINT  4 CHANGE:    10.67267-->    10.68086
 SETPOINT 10 CHANGE:    97.16344-->    97.07524
 SETPOINT  9 CHANGE:   231.07238-->   231.09574
 SETPOINT  4 CHANGE:    10.68086-->    10.68919
 SETPOINT 10 CHANGE:    97.07524-->    97.00957
 SETPOINT  9 CHANGE:   231.09574-->   231.11953
 SETPOINT  4 CHANGE:    10.68919-->    10.69765
 SETPOINT 10 CHANGE:    97.00957-->    96.96902
 SETPOINT  9 CHANGE:   231.11953-->   231.14376
 SETPOINT  4 CHANGE:    10.69765-->    10.70624
 SETPOINT 10 CHANGE:    96.96902-->    96.95549
 SETPOINT  9 CHANGE:   231.14376-->   231.16843
 SETPOINT  4 CHANGE:    10.70624-->    10.71496
 SETPOINT 10 CHANGE:    96.95549-->    96.97017
 SETPOINT  9 CHANGE:   231.16843-->   231.19353
 SETPOINT  4 CHANGE:    10.71496-->    10.72381
 SETPOINT 10 CHANGE:    96.97017-->    97.01351
 SETPOINT  9 CHANGE:   231.19353-->   231.21906
 SETPOINT  4 CHANGE:    10.72381-->    10.73279
 SETPOINT 10 CHANGE:    97.01351-->    97.08522
 SETPOINT  9 CHANGE:   231.21906-->   231.24502
 SETPOINT  4 CHANGE:    10.73279-->    10.74189
 SETPOINT 10 CHANGE:    97.08522-->    97.18426
 SETPOINT  9 CHANGE:   231.24502-->   231.27141
 SETPOINT  4 CHANGE:    10.74189-->    10.75110
 SETPOINT 10 CHANGE:    97.18426-->    97.30893
 SETPOINT  9 CHANGE:   231.27141-->   231.29822
 SETPOINT  4 CHANGE:    10.75110-->    10.76041
 SETPOINT 10 CHANGE:    97.30893-->    97.45683
 SETPOINT  9 CHANGE:   231.29822-->   231.32545
 SETPOINT  4 CHANGE:    10.76041-->    10.76981
 SETPOINT 10 CHANGE:    97.45683-->    97.62501
 SETPOINT  9 CHANGE:   231.32545-->   231.35311
 SETPOINT  4 CHANGE:    10.76981-->    10.77930
 SETPOINT 10 CHANGE:    97.62501-->    97.80997
 SETPOINT  9 CHANGE:   231.35311-->   231.38118
 SETPOINT  4 CHANGE:    10.77930-->    10.78885
 SETPOINT 10 CHANGE:    97.80997-->    98.00783
 SETPOINT  9 CHANGE:   231.38118-->   231.40966
 SETPOINT  4 CHANGE:    10.78885-->    10.79846
 SETPOINT 10 CHANGE:    98.00783-->    98.21435
 SETPOINT  9 CHANGE:   231.40966-->   231.43855
 SETPOINT  4 CHANGE:    10.79846-->    10.80811
 SETPOINT 10 CHANGE:    98.21435-->    98.42510
 SETPOINT  9 CHANGE:   231.43855-->   231.46784
 SETPOINT  4 CHANGE:    10.80811-->    10.81779
 SETPOINT 10 CHANGE:    98.42510-->    98.63552
 SETPOINT  9 CHANGE:   231.46784-->   231.49754
 SETPOINT  4 CHANGE:    10.81779-->    10.82749
 SETPOINT 10 CHANGE:    98.63552-->    98.84108
 SETPOINT  9 CHANGE:   231.49754-->   231.52764
 SETPOINT  4 CHANGE:    10.82749-->    10.83720
 SETPOINT 10 CHANGE:    98.84108-->    99.03734
 SETPOINT  9 CHANGE:   231.52764-->   231.55813
 SETPOINT  4 CHANGE:    10.83720-->    10.84689
 SETPOINT 10 CHANGE:    99.03734-->    99.22012
 SETPOINT  9 CHANGE:   231.55813-->   231.58901
 SETPOINT  4 CHANGE:    10.84689-->    10.85657
 SETPOINT 10 CHANGE:    99.22012-->    99.38552
 SETPOINT  9 CHANGE:   231.58901-->   231.62027
 SETPOINT  4 CHANGE:    10.85657-->    10.86622
 SETPOINT 10 CHANGE:    99.38552-->    99.53011
 SETPOINT  9 CHANGE:   231.62027-->   231.65192
 SETPOINT  4 CHANGE:    10.86622-->    10.87584
 SETPOINT 10 CHANGE:    99.53011-->    99.65092
 SETPOINT  9 CHANGE:   231.65192-->   231.68394
 SETPOINT  4 CHANGE:    10.87584-->    10.88542
 SETPOINT 10 CHANGE:    99.65092-->    99.74559
 SETPOINT  9 CHANGE:   231.68394-->   231.71633
 SETPOINT  4 CHANGE:    10.88542-->    10.89496
 SETPOINT 10 CHANGE:    99.74559-->    99.81237
 SETPOINT  9 CHANGE:   231.71633-->   231.74908
 SETPOINT  4 CHANGE:    10.89496-->    10.90444
 SETPOINT 10 CHANGE:    99.81237-->    99.85021
 SETPOINT  9 CHANGE:   231.74908-->   231.78220
 SETPOINT  4 CHANGE:    10.90444-->    10.91388
 SETPOINT 10 CHANGE:    99.85021-->    99.85872
 SETPOINT  9 CHANGE:   231.78220-->   231.81567
 SETPOINT  4 CHANGE:    10.91388-->    10.92327
 SETPOINT 10 CHANGE:    99.85872-->    99.83825
 SETPOINT  9 CHANGE:   231.81567-->   231.84948
 SETPOINT  4 CHANGE:    10.92327-->    10.93262
 SETPOINT 10 CHANGE:    99.83825-->    99.78984
 SETPOINT  9 CHANGE:   231.84948-->   231.88364
 SETPOINT  4 CHANGE:    10.93262-->    10.94193
 SETPOINT 10 CHANGE:    99.78984-->    99.71520
 SETPOINT  9 CHANGE:   231.88364-->   231.91814
 SETPOINT  4 CHANGE:    10.94193-->    10.95120
 SETPOINT 10 CHANGE:    99.71520-->    99.61664
 SETPOINT  9 CHANGE:   231.91814-->   231.95297
 SETPOINT  4 CHANGE:    10.95120-->    10.96044
 SETPOINT 10 CHANGE:    99.61664-->    99.49706
 SETPOINT  9 CHANGE:   231.95297-->   231.98812
 SETPOINT  4 CHANGE:    10.96044-->    10.96966
 SETPOINT 10 CHANGE:    99.49706-->    99.35985
 SETPOINT  9 CHANGE:   231.98812-->   232.02358
 SETPOINT  4 CHANGE:    10.96966-->    10.97887
 SETPOINT 10 CHANGE:    99.35985-->    99.20879
 SETPOINT  9 CHANGE:   232.02358-->   232.05936
 SETPOINT  4 CHANGE:    10.97887-->    10.98808
 SETPOINT 10 CHANGE:    99.20879-->    99.04798
 SETPOINT  9 CHANGE:   232.05936-->   232.09545
 SETPOINT  4 CHANGE:    10.98808-->    10.99730
 SETPOINT 10 CHANGE:    99.04798-->    98.88170
 SETPOINT  9 CHANGE:   232.09545-->   232.13183
 SETPOINT  4 CHANGE:    10.99730-->    11.00653
 SETPOINT 10 CHANGE:    98.88170-->    98.71433
 SETPOINT  9 CHANGE:   232.13183-->   232.16850
 SETPOINT  4 CHANGE:    11.00653-->    11.01578
 SETPOINT 10 CHANGE:    98.71433-->    98.55022
 SETPOINT  9 CHANGE:   232.16850-->   232.20546
 SETPOINT  4 CHANGE:    11.01578-->    11.02507
 SETPOINT 10 CHANGE:    98.55022-->    98.39359
 SETPOINT  9 CHANGE:   232.20546-->   232.24270
 SETPOINT  4 CHANGE:    11.02507-->    11.03440
 SETPOINT 10 CHANGE:    98.39359-->    98.24842
 SETPOINT  9 CHANGE:   232.24270-->   232.28020
 SETPOINT  4 CHANGE:    11.03440-->    11.04378
 SETPOINT 10 CHANGE:    98.24842-->    98.11834
 SETPOINT  9 CHANGE:   232.28020-->   232.31797
 SETPOINT  4 CHANGE:    11.04378-->    11.05322
 SETPOINT 10 CHANGE:    98.11834-->    98.00654
 SETPOINT  9 CHANGE:   232.31797-->   232.35599
 SETPOINT  4 CHANGE:    11.05322-->    11.06271
 SETPOINT 10 CHANGE:    98.00654-->    97.91571
 SETPOINT  9 CHANGE:   232.35599-->   232.39427
 SETPOINT  4 CHANGE:    11.06271-->    11.07226
 SETPOINT 10 CHANGE:    97.91571-->    97.84795
 SETPOINT  9 CHANGE:   232.39427-->   232.43278
 SETPOINT  4 CHANGE:    11.07226-->    11.08187
 SETPOINT 10 CHANGE:    97.84795-->    97.80474
 SETPOINT  9 CHANGE:   232.43278-->   232.47154
 SETPOINT  4 CHANGE:    11.08187-->    11.09155
 SETPOINT 10 CHANGE:    97.80474-->    97.78687
 SETPOINT  9 CHANGE:   232.47154-->   232.51052
 SETPOINT  4 CHANGE:    11.09155-->    11.10128
 SETPOINT 10 CHANGE:    97.78687-->    97.79450
 SETPOINT  9 CHANGE:   232.51052-->   232.54972
 SETPOINT  4 CHANGE:    11.10128-->    11.11106
 SETPOINT 10 CHANGE:    97.79450-->    97.82706
 SETPOINT  9 CHANGE:   232.54972-->   232.58914
 SETPOINT  4 CHANGE:    11.11106-->    11.12090
 SETPOINT 10 CHANGE:    97.82706-->    97.88336
 SETPOINT  9 CHANGE:   232.58914-->   232.62876
 SETPOINT  4 CHANGE:    11.12090-->    11.13078
 SETPOINT 10 CHANGE:    97.88336-->    97.96157
 SETPOINT  9 CHANGE:   232.62876-->   232.66858
 SETPOINT  4 CHANGE:    11.13078-->    11.14069
 SETPOINT 10 CHANGE:    97.96157-->    98.05930
 SETPOINT  9 CHANGE:   232.66858-->   232.70860
 SETPOINT  4 CHANGE:    11.14069-->    11.15062
 SETPOINT 10 CHANGE:    98.05930-->    98.17364
 SETPOINT  9 CHANGE:   232.70860-->   232.74881
 SETPOINT  4 CHANGE:    11.15062-->    11.16057
 SETPOINT 10 CHANGE:    98.17364-->    98.30125
 SETPOINT  9 CHANGE:   232.74881-->   232.78919
 SETPOINT  4 CHANGE:    11.16057-->    11.17052
 SETPOINT 10 CHANGE:    98.30125-->    98.43846
 SETPOINT  9 CHANGE:   232.78919-->   232.82975
 SETPOINT  4 CHANGE:    11.17052-->    11.18047
 SETPOINT 10 CHANGE:    98.43846-->    98.58135
 SETPOINT  9 CHANGE:   232.82975-->   232.87048
 SETPOINT  4 CHANGE:    11.18047-->    11.19039
 SETPOINT 10 CHANGE:    98.58135-->    98.72584
 SETPOINT  9 CHANGE:   232.87048-->   232.91136
 SETPOINT  4 CHANGE:    11.19039-->    11.20029
 SETPOINT 10 CHANGE:    98.72584-->    98.86781
 SETPOINT  9 CHANGE:   232.91136-->   232.95240
 SETPOINT  4 CHANGE:    11.20029-->    11.21014
 SETPOINT 10 CHANGE:    98.86781-->    99.00320
 SETPOINT  9 CHANGE:   232.95240-->   232.99358
 SETPOINT  4 CHANGE:    11.21014-->    11.21995
 SETPOINT 10 CHANGE:    99.00320-->    99.12812
 SETPOINT  9 CHANGE:   232.99358-->   233.03491
 SETPOINT  4 CHANGE:    11.21995-->    11.22970
 SETPOINT 10 CHANGE:    99.12812-->    99.23893
 SETPOINT  9 CHANGE:   233.03491-->   233.07637
 SETPOINT  4 CHANGE:    11.22970-->    11.23937
 SETPOINT 10 CHANGE:    99.23893-->    99.33232
 SETPOINT  3 CHANGE:     0.25052-->     0.25060
 SETPOINT  1 CHANGE:  3664.00000-->  3663.99367
 SETPOINT  2 CHANGE:  4509.29980-->  4509.23486
 SETPOINT  6 CHANGE:     0.33712-->     0.33711
 SETPOINT  9 CHANGE:   233.07637-->   233.11795
 SETPOINT  4 CHANGE:    11.23937-->    11.24898
 SETPOINT 10 CHANGE:    99.33232-->    99.40545
 SETPOINT  9 CHANGE:   233.11795-->   233.15965
 SETPOINT  4 CHANGE:    11.24898-->    11.25850
 SETPOINT 10 CHANGE:    99.40545-->    99.45593
 SETPOINT  9 CHANGE:   233.15965-->   233.20147
 SETPOINT  4 CHANGE:    11.25850-->    11.26794
 SETPOINT 10 CHANGE:    99.45593-->    99.48197
 SETPOINT  9 CHANGE:   233.20147-->   233.24339
 SETPOINT  4 CHANGE:    11.26794-->    11.27729
 SETPOINT 10 CHANGE:    99.48197-->    99.48236
 SETPOINT  9 CHANGE:   233.24339-->   233.28541
 SETPOINT  4 CHANGE:    11.27729-->    11.28655
 SETPOINT 10 CHANGE:    99.48236-->    99.45654
 SETPOINT  9 CHANGE:   233.28541-->   233.32753
 SETPOINT  4 CHANGE:    11.28655-->    11.29573
 SETPOINT 10 CHANGE:    99.45654-->    99.40456
 SETPOINT  9 CHANGE:   233.32753-->   233.36973
 SETPOINT  4 CHANGE:    11.29573-->    11.30482
 SETPOINT 10 CHANGE:    99.40456-->    99.32715
 SETPOINT  9 CHANGE:   233.36973-->   233.41200
 SETPOINT  4 CHANGE:    11.30482-->    11.31383
 SETPOINT 10 CHANGE:    99.32715-->    99.22564
 SETPOINT  9 CHANGE:   233.41200-->   233.45436
 SETPOINT  4 CHANGE:    11.31383-->    11.32276
 SETPOINT 10 CHANGE:    99.22564-->    99.10194
 SETPOINT  9 CHANGE:   233.45436-->   233.49677
 SETPOINT  4 CHANGE:    11.32276-->    11.33162
 SETPOINT 10 CHANGE:    99.10194-->    98.95852
 SETPOINT  9 CHANGE:   233.49677-->   233.53925
 SETPOINT  4 CHANGE:    11.33162-->    11.34042
 SETPOINT 10 CHANGE:    98.95852-->    98.79829
 SETPOINT  9 CHANGE:   233.53925-->   233.58178
 SETPOINT  4 CHANGE:    11.34042-->    11.34916
 SETPOINT 10 CHANGE:    98.79829-->    98.62457
 SETPOINT  9 CHANGE:   233.58178-->   233.62435
 SETPOINT  4 CHANGE:    11.34916-->    11.35786
 SETPOINT 10 CHANGE:    98.62457-->    98.44100
 SETPOINT  9 CHANGE:   233.62435-->   233.66697
 SETPOINT  4 CHANGE:    11.35786-->    11.36652
 SETPOINT 10 CHANGE:    98.44100-->    98.25140
 SETPOINT  9 CHANGE:   233.66697-->   233.70961
 SETPOINT  4 CHANGE:    11.36652-->    11.37515
 SETPOINT 10 CHANGE:    98.25140-->    98.05974
 SETPOINT  9 CHANGE:   233.70961-->   233.75228
 SETPOINT  4 CHANGE:    11.37515-->    11.38376
 SETPOINT 10 CHANGE:    98.05974-->    97.86997
 SETPOINT  9 CHANGE:   233.75228-->   233.79497
 SETPOINT  4 CHANGE:    11.38376-->    11.39236
 SETPOINT 10 CHANGE:    97.86997-->    97.68597
 SETPOINT  9 CHANGE:   233.79497-->   233.83767
 SETPOINT  4 CHANGE:    11.39236-->    11.40095
 SETPOINT 10 CHANGE:    97.68597-->    97.51143
 SETPOINT  9 CHANGE:   233.83767-->   233.88038
 SETPOINT  4 CHANGE:    11.40095-->    11.40954
 SETPOINT 10 CHANGE:    97.51143-->    97.34972
 SETPOINT  9 CHANGE:   233.88038-->   233.92309
 SETPOINT  4 CHANGE:    11.40954-->    11.41814
 SETPOINT 10 CHANGE:    97.34972-->    97.20389
 SETPOINT  9 CHANGE:   233.92309-->   233.96580
 SETPOINT  4 CHANGE:    11.41814-->    11.42676
 SETPOINT 10 CHANGE:    97.20389-->    97.07650
 SETPOINT  9 CHANGE:   233.96580-->   234.00849
 SETPOINT  4 CHANGE:    11.42676-->    11.43539
 SETPOINT 10 CHANGE:    97.07650-->    96.96963
 SETPOINT  9 CHANGE:   234.00849-->   234.05116
 SETPOINT  4 CHANGE:    11.43539-->    11.44404
 SETPOINT 10 CHANGE:    96.96963-->    96.88478
 SETPOINT  9 CHANGE:   234.05116-->   234.09380
 SETPOINT  4 CHANGE:    11.44404-->    11.45270
 SETPOINT 10 CHANGE:    96.88478-->    96.82286
 SETPOINT  9 CHANGE:   234.09380-->   234.13642
 SETPOINT  4 CHANGE:    11.45270-->    11.46138
 SETPOINT 10 CHANGE:    96.82286-->    96.78419
 SETPOINT  9 CHANGE:   234.13642-->   234.17900
 SETPOINT  4 CHANGE:    11.46138-->    11.47008
 SETPOINT 10 CHANGE:    96.78419-->    96.76843
 SETPOINT  9 CHANGE:   234.17900-->   234.22154
 SETPOINT  4 CHANGE:    11.47008-->    11.47878
 SETPOINT 10 CHANGE:    96.76843-->    96.77468
 SETPOINT  9 CHANGE:   234.22154-->   234.26403
 SETPOINT  4 CHANGE:    11.47878-->    11.48749
 SETPOINT 10 CHANGE:    96.77468-->    96.80145
 SETPOINT  9 CHANGE:   234.26403-->   234.30647
 SETPOINT  4 CHANGE:    11.48749-->    11.49619
 SETPOINT 10 CHANGE:    96.80145-->    96.84671
 SETPOINT  9 CHANGE:   234.30647-->   234.34885
 SETPOINT  4 CHANGE:    11.49619-->    11.50489
 SETPOINT 10 CHANGE:    96.84671-->    96.90796
 SETPOINT  9 CHANGE:   234.34885-->   234.39116
 SETPOINT  4 CHANGE:    11.50489-->    11.51356
 SETPOINT 10 CHANGE:    96.90796-->    96.98231
 SETPOINT  9 CHANGE:   234.39116-->   234.43341
 SETPOINT  4 CHANGE:    11.51356-->    11.52221
 SETPOINT 10 CHANGE:    96.98231-->    97.06650
 SETPOINT  9 CHANGE:   234.43341-->   234.47558
 SETPOINT  4 CHANGE:    11.52221-->    11.53083
 SETPOINT 10 CHANGE:    97.06650-->    97.15707
 SETPOINT  9 CHANGE:   234.47558-->   234.51768
 SETPOINT  4 CHANGE:    11.53083-->    11.53939
 SETPOINT 10 CHANGE:    97.15707-->    97.25037
 SETPOINT  9 CHANGE:   234.51768-->   234.55969
 SETPOINT  4 CHANGE:    11.53939-->    11.54790
 SETPOINT 10 CHANGE:    97.25037-->    97.34269
 SETPOINT  9 CHANGE:   234.55969-->   234.60161
 SETPOINT  4 CHANGE:    11.54790-->    11.55635
